Inflation rate,Unemployment rate,GDP growth rate,Crime rate,Healthcare access index,Education quality index,Infrastructure quality index,Population growth rate,Homelessness rate,Home ownership rate,Income inequality index,Immigration rate,Military strength index,Environmental sustainability index,Social cohesion index,Divorce rate,Average life expectancy,Median household income,Poverty rate,Education attainment level
7.26,9.19,-4.17,99.1,14.85,94.33,78.81,-0.08,0.06,0.3,2.68,8.55,87.89,41.48,23.86,8.85,73.5,48869.25,20.3,85.45
9.8,8.99,6.16,30.56,20.18,86.16,88.25,2.22,0.63,0.31,71.42,4.39,4.05,75.12,51.85,6.44,81.85,84357.01,46.73,97.06
2.61,9.15,1.05,19.34,93.37,54.16,71.81,-0.3,0.23,0.94,23.19,8.72,86.35,4.78,98.9,1.85,65.29,79284.03,8.18,90.75
6.64,1.24,8.35,75.8,21.91,31.86,70.13,0.91,0.81,0.68,62.1,6.02,41.05,15.28,62.02,2.96,61.31,98386.18,1.21,32.04
9.72,12.71,6.18,86.53,20.64,22.91,15.8,0.52,0.08,0.85,34.19,6.55,72.34,46.55,39.22,0.61,88.2,55322.78,33.75,9.04
3.68,10.11,-2.59,20.03,98.63,28.48,14.82,-1.85,0.29,0.6,99.53,9.06,66.55,2.39,64.26,4.65,70.23,38938.41,48.01,56.51
4.96,3.02,5.42,69.7,59.03,93.77,17.03,2.28,0.4,0.88,51.93,2.61,1.19,59.87,27.5,6.83,77.33,21899.13,6.93,44.48
5.3,9.89,-4.62,31.06,39.27,96.08,72.73,0.63,0.33,0.32,86.41,8.7,33.98,25.57,27.93,0.52,67.19,63698.66,39.67,40.8
4.46,7.9,-2.64,19.9,36.98,24.16,13.03,-0.98,0.48,0.75,90.85,8.63,40.84,93.11,17.82,9.19,85.3,55911.09,31.08,25.56
8.8,5.77,0.58,14.07,75.12,33.94,61.93,2.4,0.94,0.66,33.26,3.2,70.48,12.82,86.55,3.06,73.56,44879.15,33.19,76.58
2.32,2.95,3.75,93.47,92.36,44.47,91.31,0.88,1.0,0.28,87.18,1.39,36.67,8.01,64.37,0.02,83.28,88015.5,44.93,80.08
5.96,11.73,-3.81,23.85,19.62,70.82,26.61,2.41,0.41,0.74,2.33,3.26,65.38,51.51,83.9,3.52,78.39,55091.62,12.03,100.0
0.85,11.04,5.24,59.81,58.26,57.02,89.02,-0.57,0.37,0.41,26.45,3.44,35.5,3.58,52.27,0.9,71.6,12137.05,47.75,70.07
8.17,6.45,-0.91,2.24,4.12,21.93,69.54,2.78,0.21,0.69,38.85,1.06,26.09,27.35,83.09,2.19,79.75,84360.11,5.87,12.87
7.75,11.45,7.78,20.5,13.87,59.43,72.85,-0.34,0.71,0.47,37.49,6.42,2.75,53.6,80.45,2.27,61.58,59238.2,3.89,38.98
8.65,1.56,-0.54,57.97,75.45,83.55,57.57,0.39,0.59,0.1,71.75,3.96,25.88,28.07,80.41,6.58,82.54,92127.24,32.16,13.15
6.48,14.32,0.19,3.63,37.43,31.2,40.75,2.31,0.81,0.13,40.97,4.68,9.86,50.77,69.75,9.71,84.72,87488.02,0.23,37.28
4.32,11.48,9.42,5.19,22.9,49.3,78.03,1.36,0.57,0.8,64.28,1.72,44.43,63.25,51.65,0.08,72.63,98788.21,46.03,51.42
3.89,11.13,6.62,9.15,61.98,83.03,44.15,-0.91,0.97,0.93,79.17,4.35,69.1,80.39,48.94,2.18,78.38,42650.65,33.84,7.23
7.4,2.96,5.26,21.28,90.73,37.75,82.31,-0.09,0.68,0.66,47.59,2.93,15.78,93.73,92.96,8.7,76.97,84406.64,45.39,42.61
5.76,3.97,-2.31,34.13,36.15,81.32,55.86,1.59,0.53,0.35,71.36,4.36,63.85,52.26,13.15,4.55,88.22,84256.81,9.14,91.85
7.28,0.96,4.01,37.78,42.44,98.69,89.69,-0.77,0.62,0.89,69.45,0.35,1.98,88.57,80.83,3.04,81.41,62883.94,28.32,41.23
2.93,1.73,-2.23,72.3,15.26,93.86,21.86,-1.41,0.78,0.99,12.13,5.82,73.73,74.26,41.0,1.55,85.36,39966.17,33.64,88.58
2.37,10.66,1.17,87.38,85.07,2.74,16.08,2.71,0.65,0.36,16.1,3.94,16.19,51.14,60.23,7.13,75.5,46775.82,43.9,99.99
6.11,13.56,-1.51,64.72,10.87,79.83,95.67,1.02,0.91,0.28,9.27,7.15,91.49,37.35,79.02,2.28,75.28,36501.19,25.94,14.32
1.13,3.5,-1.93,54.3,14.25,47.56,32.97,2.49,0.57,0.87,34.45,4.77,97.52,32.02,30.62,1.31,67.57,62601.86,43.2,71.32
3.67,7.56,6.52,5.9,5.37,46.45,12.59,0.32,0.8,0.69,6.38,7.12,21.13,35.2,93.13,6.97,78.77,37681.07,5.12,23.18
9.77,3.13,3.09,71.56,89.32,10.13,57.26,0.11,0.68,0.6,2.94,8.6,61.51,57.22,68.93,6.02,77.79,43938.42,31.92,73.22
8.34,5.09,9.32,85.34,23.75,20.75,64.07,-1.28,0.58,0.42,8.79,2.33,14.15,78.94,7.96,2.32,72.8,77763.7,3.7,43.46
9.48,0.15,1.69,35.14,95.1,23.35,95.03,-1.43,0.02,0.5,13.29,0.43,34.81,72.58,45.89,5.68,68.0,44151.0,17.11,26.15
8.97,5.39,2.66,29.77,58.46,17.8,81.78,2.97,0.22,0.52,0.87,0.24,26.42,85.11,28.73,5.18,61.18,97194.44,38.56,84.95
9.17,1.66,-2.38,35.07,34.82,98.64,5.16,0.52,0.42,0.85,67.54,6.47,87.44,88.11,6.85,5.25,73.43,99849.75,23.5,35.79
6.65,3.75,0.53,15.11,3.72,49.52,68.75,1.16,0.14,0.36,39.28,7.0,65.38,43.06,52.23,2.81,80.63,64309.07,8.23,54.64
0.37,12.83,0.39,11.87,61.66,66.69,86.06,1.78,0.41,0.1,87.36,9.75,5.22,38.62,3.37,5.5,84.69,33434.83,42.57,61.95
6.76,3.22,8.4,2.76,85.49,32.15,3.28,1.44,0.92,0.02,32.63,0.32,96.67,93.78,35.69,7.46,88.86,84198.16,32.81,57.31
6.83,0.74,2.71,57.18,52.53,32.59,12.81,-1.5,0.41,0.61,37.56,1.1,54.74,75.61,73.25,2.99,89.51,82651.81,6.8,94.31
8.46,5.95,-4.37,44.57,64.17,21.05,43.01,-1.88,0.98,0.98,83.57,6.41,72.96,2.33,15.54,3.13,60.04,56763.62,18.83,72.8
1.23,4.04,8.31,70.78,97.61,5.83,48.51,1.49,0.68,0.44,47.57,9.51,39.79,53.62,47.67,7.0,71.02,41401.15,12.23,66.85
3.29,14.73,1.43,27.96,87.85,67.99,21.58,1.79,0.57,0.63,30.75,2.32,62.29,2.63,4.12,2.09,74.05,72896.45,29.39,76.81
0.35,14.15,5.63,20.58,58.64,39.29,16.48,0.97,0.49,0.9,44.2,5.42,45.02,7.65,3.36,4.42,66.17,23542.35,46.2,2.58
5.77,2.29,7.09,81.93,72.69,48.19,59.33,-1.89,0.74,0.1,52.48,9.55,9.96,51.24,48.76,1.08,89.54,62834.88,29.15,84.9
2.12,14.25,1.95,46.91,65.92,64.52,3.34,2.92,0.26,0.16,70.05,3.26,11.24,82.25,76.19,8.44,63.92,24444.8,15.13,9.0
0.45,14.42,7.17,4.11,58.95,9.56,14.84,2.9,0.83,0.04,28.54,3.31,65.54,94.37,25.49,6.8,69.92,55321.97,25.19,6.91
0.78,5.71,5.59,30.54,59.79,79.79,39.34,2.89,0.02,0.88,19.88,1.39,80.16,35.38,44.57,2.96,88.67,49784.92,28.81,16.76
1.16,14.53,4.3,60.43,20.74,75.64,69.25,0.23,0.92,0.22,22.35,7.49,50.4,8.22,79.89,0.18,77.5,14762.79,28.13,11.66
8.87,4.22,-3.19,34.72,0.12,38.73,54.31,0.52,0.51,0.04,12.91,4.87,33.0,69.38,50.94,6.42,84.59,83003.83,7.26,61.24
4.39,8.19,-0.04,0.25,51.04,13.59,57.41,1.92,0.09,0.05,4.78,1.35,56.36,94.08,73.29,4.26,83.01,54901.4,7.77,36.99
5.68,1.81,1.41,28.87,51.44,89.93,36.24,1.12,0.1,0.08,87.28,8.85,52.72,68.54,14.24,8.58,66.6,58781.29,35.09,43.58
1.76,12.71,0.17,32.67,92.9,12.41,0.42,0.54,0.3,0.48,55.68,5.75,55.7,83.76,68.86,0.74,60.21,67004.17,12.99,52.54
8.1,5.27,1.58,79.92,11.48,51.56,55.45,-1.31,0.19,0.35,88.45,6.76,64.79,1.05,55.54,7.85,76.27,86612.35,29.9,75.95
6.22,1.0,-2.5,35.58,26.86,76.01,38.32,2.87,0.96,0.85,37.41,9.88,36.18,15.89,55.68,6.19,84.15,57872.99,33.6,88.76
6.16,8.53,9.57,93.59,52.66,78.03,25.79,-0.04,0.95,0.74,12.72,8.68,88.89,8.53,30.57,4.24,81.04,60169.08,44.8,95.94
1.2,1.23,-2.49,67.05,45.77,48.88,74.62,-0.33,0.27,0.44,32.65,6.12,35.17,19.97,83.98,5.6,74.24,67161.79,31.2,34.73
9.17,5.9,-0.55,73.86,31.19,28.99,63.15,-0.07,0.97,0.41,77.12,1.24,91.99,57.16,35.72,6.57,77.95,72874.38,9.83,65.45
7.19,12.75,7.79,13.33,29.97,12.4,25.03,-1.82,0.29,0.7,46.87,5.42,29.69,65.87,50.25,2.15,85.42,54111.57,42.48,24.07
9.75,10.01,-3.9,59.91,37.78,70.39,66.21,0.77,0.69,0.2,38.94,4.63,9.54,14.69,33.46,1.56,79.27,91771.92,23.72,31.07
6.33,0.7,-0.54,2.71,36.26,44.96,21.28,2.95,0.62,0.27,93.19,9.61,99.93,39.57,65.23,7.71,74.98,70101.3,28.26,78.47
6.32,5.2,7.44,46.6,95.09,33.35,20.02,1.87,0.58,0.85,30.12,9.11,68.25,9.61,86.49,8.24,61.01,81348.41,32.6,4.89
7.45,10.73,8.12,41.59,90.29,97.05,15.94,2.73,0.18,0.95,57.01,5.31,67.87,43.27,54.75,8.34,74.75,38654.77,34.02,48.53
1.56,4.2,7.64,33.33,97.31,61.41,90.45,1.94,0.36,0.08,62.27,9.63,95.17,93.76,79.55,3.78,77.85,33090.48,5.28,84.7
6.59,0.94,8.48,83.64,58.2,78.92,27.36,-1.05,0.22,0.89,55.19,8.43,36.8,46.38,4.11,5.43,83.54,44945.01,32.5,94.13
8.02,6.69,1.11,97.58,76.36,67.89,21.34,-0.06,0.48,0.61,52.68,9.6,65.01,51.8,95.12,2.23,66.52,40518.16,14.54,58.89
2.09,0.61,9.28,1.98,84.77,57.66,30.09,2.15,0.07,0.24,20.0,9.1,98.83,78.29,33.61,5.34,73.17,52681.18,49.32,38.89
8.94,0.23,0.26,6.8,56.07,8.41,47.42,-0.78,0.81,0.01,15.7,3.5,49.64,93.81,22.53,7.6,75.04,91658.47,33.25,43.6
6.1,11.0,7.48,67.3,74.29,26.73,6.97,-1.4,0.12,0.73,36.81,1.38,61.5,86.88,78.89,0.76,83.44,34666.42,18.11,87.4
6.92,4.24,-0.83,23.29,4.07,82.48,91.87,1.28,0.04,0.24,36.92,2.54,94.66,96.61,46.88,9.89,70.66,73284.12,36.59,73.75
5.38,3.46,4.33,23.38,97.9,52.7,39.35,1.32,0.98,0.51,91.14,5.9,89.28,30.96,10.01,4.82,61.16,23979.96,38.77,30.18
3.99,9.22,9.8,12.86,26.06,94.98,57.3,2.77,0.46,0.91,50.46,8.86,58.13,79.73,94.18,5.72,79.39,40532.43,36.58,95.7
1.88,1.72,-1.14,34.32,24.96,69.14,73.88,1.91,0.12,0.31,82.5,8.13,53.04,53.07,16.55,2.01,68.61,45290.33,8.87,32.51
7.88,5.84,3.52,36.94,48.52,68.22,83.91,-0.47,0.98,0.85,41.16,8.68,42.78,23.99,97.09,1.12,87.63,33590.15,24.25,89.11
3.79,9.9,-3.26,40.85,99.8,8.16,64.68,1.45,0.09,0.69,64.39,2.67,97.81,83.2,7.36,1.96,71.92,55898.66,9.16,88.6
7.1,9.85,0.41,76.95,67.0,14.0,38.64,0.16,0.37,0.08,65.73,8.34,92.81,56.5,66.13,2.24,62.93,52747.35,22.04,62.86
5.31,7.1,-0.62,46.23,83.04,33.7,1.92,1.47,0.39,0.97,25.52,3.42,17.67,73.45,6.38,2.04,65.56,23630.14,36.4,94.87
7.11,1.87,6.71,40.27,95.07,17.53,0.79,-0.08,0.67,0.55,0.16,3.91,54.3,69.43,65.17,9.34,74.69,13598.47,21.88,13.14
7.53,5.25,-1.95,25.03,69.33,94.26,99.76,-1.38,0.43,0.28,76.02,1.83,28.89,62.22,15.64,5.49,80.96,69729.17,29.14,54.0
6.42,8.29,7.68,40.74,73.91,35.26,97.23,1.59,0.54,0.09,7.12,1.73,26.86,77.06,92.35,5.27,85.28,54893.16,46.5,99.19
0.43,2.3,-2.49,29.49,77.99,33.14,82.85,-0.99,0.64,0.52,54.96,8.69,57.62,78.71,7.7,9.06,72.92,63817.08,5.29,90.46
5.55,7.03,-2.94,46.67,14.13,31.87,24.97,2.1,0.75,0.61,41.97,0.92,0.09,38.58,58.97,1.37,83.41,33765.59,37.64,64.55
2.8,13.6,7.29,32.62,26.25,87.1,64.68,-1.48,0.27,0.06,0.97,5.69,3.67,80.73,20.85,0.44,64.78,57813.13,47.33,60.93
4.93,8.09,6.45,23.17,88.05,3.13,51.98,1.84,0.87,0.85,79.77,0.09,93.03,6.61,94.02,1.21,89.74,81186.53,35.12,20.49
6.51,0.39,2.92,84.98,53.19,85.28,99.06,-1.42,0.94,0.5,72.88,3.5,17.03,95.47,29.76,2.61,62.38,62551.66,20.67,31.47
0.2,13.81,9.98,39.93,47.22,84.9,35.37,1.12,0.03,0.23,68.47,2.85,94.44,44.91,72.89,5.23,63.3,56796.07,1.07,36.74
3.23,7.45,7.27,92.12,2.24,56.46,15.39,-0.05,0.5,0.58,44.71,2.53,29.48,7.07,68.41,9.63,75.42,75899.67,43.6,76.16
2.52,5.97,5.59,38.87,82.72,95.79,35.21,1.87,0.8,0.7,93.98,2.87,87.14,26.2,11.71,2.19,84.55,79920.3,22.21,25.66
3.01,8.72,8.18,27.72,38.37,14.0,70.92,0.57,0.42,0.16,15.17,3.88,95.07,20.56,46.12,4.29,86.22,30594.69,2.22,32.35
2.69,2.25,-0.64,24.59,93.94,77.27,73.11,-0.2,1.0,0.51,79.6,6.89,10.52,44.46,13.27,2.89,82.18,92571.24,49.29,87.55
5.46,5.48,7.09,3.73,21.3,73.28,50.96,-0.59,0.06,0.31,16.46,3.48,30.91,86.68,74.4,6.12,62.35,16332.69,4.35,82.93
7.73,1.37,7.45,24.02,87.47,38.51,39.38,-0.3,0.3,0.57,31.14,0.11,26.98,59.85,2.17,5.04,68.73,10086.1,46.97,65.95
7.8,10.66,-4.51,80.3,76.74,43.69,11.3,-0.49,0.03,0.43,5.96,8.01,35.69,82.78,27.42,0.71,79.88,10504.52,45.22,93.65
9.6,6.62,-1.77,16.68,53.0,76.86,69.29,2.48,0.32,0.87,89.18,7.77,26.91,67.78,59.5,8.72,75.07,82529.68,6.03,30.28
4.65,9.61,-3.48,83.7,18.26,70.35,71.7,1.31,0.97,0.94,2.39,5.4,20.71,2.19,35.69,2.56,72.78,93900.48,4.74,14.51
9.03,9.36,1.51,90.18,46.05,70.96,94.88,3.0,0.51,0.59,61.89,7.72,39.83,80.57,72.9,0.75,61.45,70514.35,24.33,82.47
5.93,4.12,6.35,81.81,31.32,32.18,65.34,2.88,0.81,0.33,23.26,2.73,13.05,42.97,47.08,2.79,63.27,29982.84,6.8,20.98
3.78,8.2,-2.87,2.99,85.83,61.84,89.0,-1.38,0.09,0.41,73.64,6.82,69.59,10.63,40.18,3.85,82.15,14655.07,29.09,12.73
8.29,14.57,3.47,60.98,23.6,44.18,48.08,1.82,0.25,0.99,5.44,8.72,10.88,88.6,44.59,4.95,67.74,92773.71,20.98,48.91
8.0,10.3,-2.11,97.46,39.19,35.63,53.58,2.88,0.04,0.59,3.4,1.82,70.72,31.33,66.48,1.48,82.4,12919.23,30.98,93.81
0.17,0.03,-4.64,8.53,37.4,24.77,64.13,-1.18,0.8,0.39,76.14,9.41,94.15,74.41,91.3,6.44,70.66,91846.33,46.66,54.84
1.38,14.28,3.13,55.48,83.9,6.46,67.6,1.1,0.98,0.43,18.33,4.95,7.68,21.96,94.19,7.77,64.61,59637.36,23.74,85.19
9.51,13.41,8.69,8.93,4.23,82.05,39.67,-1.08,0.18,0.55,6.66,7.19,40.59,88.88,18.24,7.47,67.58,67981.97,13.36,49.42
5.53,9.64,-4.1,7.81,99.78,62.62,48.0,2.47,0.69,0.38,77.11,5.06,46.2,30.98,97.21,7.9,73.33,50555.42,18.34,85.78
6.37,7.95,8.36,82.58,22.11,21.37,29.18,0.62,0.49,0.15,5.7,4.46,4.29,72.74,61.75,0.69,77.64,72069.2,29.98,25.28
6.73,2.15,3.15,68.97,21.24,49.36,61.81,2.86,0.36,0.4,83.04,3.21,97.93,98.5,56.52,9.75,83.65,23597.88,11.12,14.86
1.61,14.96,7.53,81.03,3.48,23.81,98.29,0.54,0.7,0.02,81.51,5.11,30.69,71.05,62.12,9.27,74.67,10592.74,33.4,87.41
4.48,4.03,7.07,40.39,0.43,44.57,6.56,0.24,0.37,0.2,25.78,0.39,58.64,76.14,57.15,4.19,75.51,88006.11,28.46,41.46
5.94,2.68,5.35,31.14,17.58,34.11,79.28,0.53,0.08,0.69,55.61,6.05,95.79,3.4,77.07,0.69,80.21,98052.26,23.1,77.19
8.43,1.06,7.65,72.39,95.67,35.37,18.18,-0.12,0.65,0.71,74.19,8.21,0.74,92.94,8.1,7.41,87.66,87678.53,25.55,35.51
9.94,3.28,7.98,66.65,72.49,85.83,85.52,0.63,0.3,0.03,47.06,5.91,55.05,84.88,0.03,8.71,77.23,94059.84,21.87,13.81
6.92,6.79,8.24,97.63,10.04,52.51,22.68,1.51,0.02,0.29,0.46,3.88,90.78,29.27,40.89,6.68,74.46,17740.66,21.81,73.85
8.94,12.36,4.14,44.11,67.91,45.37,85.93,1.39,0.83,0.41,74.33,4.32,85.27,51.17,96.06,2.47,66.19,10812.09,17.31,4.0
4.69,5.12,4.21,3.21,98.16,1.68,39.66,2.54,0.43,0.63,50.3,7.94,96.24,47.14,71.19,3.51,66.03,22192.77,34.39,76.07
7.24,1.98,0.51,51.11,61.31,34.72,47.0,-1.59,0.63,0.23,43.81,9.2,74.03,22.98,41.7,6.65,87.7,82708.31,43.44,3.78
2.36,3.41,4.01,62.13,68.95,39.13,65.35,0.83,0.29,0.35,91.73,4.61,5.74,53.95,89.68,0.29,69.43,32827.53,9.74,72.8
5.26,10.34,-1.57,37.07,64.05,54.13,93.8,-0.5,0.89,0.42,67.21,7.21,28.14,12.99,47.08,0.3,76.44,50816.0,30.96,63.45
9.91,4.5,8.97,95.56,31.11,80.19,53.35,2.26,0.24,0.08,28.69,9.05,91.32,85.67,59.02,7.99,72.77,25966.69,18.71,66.67
7.75,5.28,9.38,64.69,3.23,41.12,5.74,-1.1,0.94,1.0,83.53,4.85,34.24,18.61,88.39,9.98,74.07,13812.15,0.11,27.71
9.32,12.23,8.22,50.5,1.03,13.73,59.08,-1.69,0.76,0.5,17.62,2.12,93.47,23.3,78.41,7.23,82.24,27272.47,41.38,41.35
4.46,12.36,4.88,4.13,46.41,66.72,38.03,-0.66,0.97,0.78,78.48,1.73,31.62,75.58,0.01,2.14,86.76,96137.83,20.56,61.03
0.81,2.27,-4.82,84.13,81.46,56.82,90.04,-1.29,0.58,0.7,34.94,6.87,79.82,45.21,83.1,1.38,79.88,71284.97,34.53,94.58
5.53,13.76,8.64,29.68,67.12,15.58,44.97,-0.41,0.44,0.93,80.99,3.72,39.18,74.74,39.67,7.61,78.34,97300.78,1.45,11.49
9.05,7.39,-1.81,76.11,71.23,65.37,16.96,0.31,0.07,0.85,64.14,4.91,82.23,5.03,22.07,3.41,73.23,86446.45,15.35,51.63
8.35,2.79,-0.56,92.48,32.16,58.03,97.27,-1.33,0.84,0.69,55.43,1.48,47.5,37.49,82.4,7.57,86.96,86543.25,36.2,22.5
2.65,10.26,8.73,82.41,43.96,18.86,2.58,0.92,0.21,0.1,81.01,7.62,66.95,51.06,1.91,8.29,73.59,43283.54,47.69,46.46
2.99,12.06,0.78,88.06,50.18,40.53,20.22,0.05,0.41,0.73,27.67,1.04,57.32,62.68,77.07,4.0,78.0,40077.78,30.43,42.62
9.97,12.86,2.42,43.62,81.66,83.86,23.22,2.02,0.59,0.58,98.86,0.11,70.43,74.88,62.67,5.97,84.89,38355.41,44.06,30.69
9.21,6.98,-0.58,42.66,58.59,72.85,75.61,-0.82,0.06,0.26,81.19,9.81,18.26,75.37,54.34,5.62,89.44,52694.18,2.47,76.85
0.37,9.86,1.49,69.59,76.77,91.57,99.77,2.89,0.59,0.02,0.38,7.74,27.81,40.39,31.95,1.52,61.14,70890.88,49.84,78.28
0.78,12.72,-0.25,31.97,28.91,23.99,62.75,-1.08,0.26,0.01,73.27,9.93,72.77,60.03,73.7,1.36,68.44,31605.29,31.74,48.5
2.98,9.11,3.13,49.76,43.73,64.14,10.89,1.67,0.61,0.83,32.44,5.77,76.67,24.34,40.74,10.0,82.54,99412.57,42.85,8.3
6.88,3.6,-1.86,15.64,67.8,0.54,94.18,1.2,0.26,0.95,61.3,5.53,33.62,73.4,58.27,4.11,77.43,54492.32,44.82,13.46
9.76,6.01,-3.3,63.32,10.57,57.05,69.14,-0.97,0.35,0.05,16.83,9.49,75.51,81.86,63.36,9.95,85.25,30181.49,49.36,92.81
8.95,0.52,9.34,94.85,14.48,69.07,30.57,1.05,0.7,0.08,35.13,3.0,56.5,80.73,15.81,1.13,76.3,48926.93,43.39,62.95
1.11,10.91,4.92,17.91,43.36,60.07,19.32,2.23,0.62,0.31,36.22,8.5,65.19,20.75,95.0,8.05,76.07,94726.65,49.99,85.22
8.5,6.14,-3.05,73.39,44.35,21.89,0.38,2.69,0.67,0.95,51.29,5.63,40.74,66.92,58.03,8.89,74.57,34523.29,20.13,26.24
7.66,3.75,9.46,12.34,60.03,87.26,32.49,1.5,0.66,0.0,19.76,9.41,42.33,66.52,6.88,1.42,68.74,66718.22,39.64,64.01
3.18,14.05,9.35,48.57,32.59,70.94,86.82,-1.46,0.93,0.29,78.71,2.46,7.64,29.25,21.46,0.75,88.43,43251.47,37.18,68.29
8.36,5.5,-2.0,50.24,78.18,91.32,79.96,-1.94,0.11,0.68,37.35,1.04,85.04,82.16,45.02,4.17,86.4,22962.58,34.72,22.63
2.14,13.32,3.82,76.86,48.13,60.32,61.87,-0.71,0.28,0.26,10.97,4.53,22.7,77.35,78.2,1.17,83.27,80232.1,28.47,74.65
9.86,14.41,-2.73,77.7,13.31,54.03,8.39,-1.94,0.28,0.93,36.72,3.63,81.06,97.62,80.79,9.65,61.13,33227.9,9.22,13.88
8.13,11.99,-4.55,30.95,4.19,22.98,57.81,1.23,0.62,0.34,83.16,1.78,39.35,97.0,29.82,4.33,63.81,25802.81,0.72,70.48
7.02,8.78,0.66,70.53,29.22,17.45,30.74,0.48,0.49,0.11,1.89,4.09,20.23,45.54,53.1,4.97,82.84,54729.09,26.81,94.13
7.78,0.52,-1.09,4.88,10.47,70.1,37.64,-1.52,0.91,0.62,74.83,0.63,67.67,11.47,58.36,9.25,73.54,54659.23,28.92,93.5
7.01,8.07,-1.24,18.88,33.44,50.93,82.53,-1.54,0.51,0.14,10.01,5.11,28.81,52.25,77.27,6.21,63.71,76373.5,17.02,71.17
2.05,2.25,2.14,21.17,5.75,67.13,80.73,2.91,0.96,0.62,50.88,1.63,40.22,0.18,32.84,5.95,77.35,81593.88,6.02,93.11
1.81,9.31,2.84,58.48,19.28,50.24,23.68,2.18,0.72,0.12,89.5,0.91,9.21,35.78,60.0,9.35,87.48,89789.52,16.59,58.38
8.64,10.87,4.12,54.11,88.67,87.29,18.91,2.05,0.45,0.33,81.53,4.14,46.65,2.66,38.28,7.03,70.54,51499.66,2.26,38.76
5.41,10.63,0.2,0.48,70.32,60.56,44.15,-0.88,0.08,0.85,65.98,2.68,13.67,69.39,23.86,8.88,68.64,55514.15,21.21,83.28
6.19,6.32,1.71,25.87,50.57,48.22,36.46,0.87,0.13,0.89,9.77,3.55,41.8,19.02,72.52,4.61,89.11,94531.4,31.43,87.65
6.71,2.11,8.59,40.94,82.8,86.29,69.51,-0.91,0.94,0.92,67.37,8.99,6.12,72.12,49.24,0.41,66.28,45742.33,3.98,94.9
3.69,1.51,9.88,48.13,66.57,37.12,44.2,2.41,0.38,0.95,71.25,1.8,66.31,10.73,80.75,0.52,80.79,46598.74,13.07,52.37
6.32,1.83,3.13,21.58,49.64,8.66,65.35,2.14,0.33,0.37,95.3,1.67,37.12,89.95,48.2,8.13,76.11,44968.8,32.01,99.43
0.01,7.66,-4.44,60.34,78.49,8.31,10.97,1.01,0.16,0.04,35.36,4.3,71.88,77.03,33.04,4.57,67.15,48589.8,25.74,51.53
7.7,2.71,-2.77,50.84,20.75,67.18,80.66,2.12,0.72,0.42,94.6,7.52,41.41,62.85,45.67,0.29,60.2,58845.32,22.14,61.44
2.42,4.41,8.7,4.58,52.51,87.48,70.2,2.07,0.06,0.84,82.54,8.08,3.05,74.96,41.94,0.63,79.84,92458.13,21.42,88.18
0.32,13.68,-1.2,83.75,70.52,86.18,43.34,1.75,0.5,0.8,61.74,9.87,93.94,10.65,17.41,9.66,88.15,34419.9,5.22,63.51
3.85,11.9,-0.25,43.62,72.59,18.81,91.86,1.68,0.37,0.93,18.11,8.65,22.19,92.34,58.01,9.3,64.15,26306.12,29.81,38.33
8.87,7.47,0.58,34.76,36.79,44.5,21.07,-0.61,0.33,0.93,27.75,2.83,82.39,45.54,56.09,6.13,61.21,35082.36,15.09,24.32
0.34,14.54,1.16,42.59,69.38,24.96,50.95,2.59,0.23,0.93,53.4,1.25,79.55,9.21,98.96,4.13,65.95,28470.33,49.28,84.51
0.03,6.17,-1.28,37.15,7.43,19.73,81.74,-0.8,0.79,0.52,27.72,6.19,22.15,81.98,58.19,0.42,77.84,98297.53,23.1,35.44
6.74,3.45,0.38,70.42,70.32,84.94,5.46,2.78,0.89,0.95,75.32,9.55,13.08,58.7,83.44,9.02,68.09,50421.93,23.29,92.92
0.07,4.36,3.84,48.85,69.14,59.1,26.36,-1.14,0.44,0.9,62.65,0.25,93.45,82.65,85.07,2.42,81.07,84171.45,1.03,32.33
5.17,8.82,4.32,18.38,41.64,46.9,36.88,0.87,0.66,0.67,41.26,0.54,61.27,57.03,7.79,7.93,88.56,69337.61,25.69,87.87
7.62,12.59,5.57,94.72,73.34,92.0,14.1,-0.8,0.36,0.41,31.6,1.49,15.86,75.4,28.16,1.87,63.34,62949.56,33.82,32.74
4.45,4.31,7.59,12.36,97.74,86.97,34.57,0.68,0.33,0.88,96.34,9.77,47.4,45.1,69.41,8.52,65.97,47807.04,0.18,12.96
6.63,1.36,2.49,72.21,30.45,94.47,13.95,0.43,0.12,0.09,52.52,9.85,46.78,98.36,93.26,3.85,83.18,69480.89,43.43,66.69
9.87,4.66,0.37,21.07,30.34,6.56,88.06,1.21,0.42,0.86,62.08,9.28,99.65,80.48,43.25,3.4,65.44,71496.47,37.21,24.67
6.92,14.0,8.58,76.66,81.24,39.7,20.95,0.28,0.75,0.34,58.36,3.01,6.63,27.14,27.95,4.9,70.16,41269.83,47.73,68.12
3.48,14.2,6.44,24.31,32.92,30.0,50.97,-0.67,0.87,0.57,39.81,6.41,8.95,84.85,22.06,5.43,72.29,76693.35,32.94,34.06
4.59,5.49,1.37,87.16,64.31,20.64,91.48,0.57,0.88,0.66,0.07,8.85,28.08,40.13,96.77,9.36,74.46,72487.46,49.53,83.51
1.03,2.15,1.16,51.16,81.33,17.01,21.89,-0.22,0.65,0.19,74.21,1.59,80.41,61.25,69.97,2.61,65.06,16255.63,17.07,17.42
