problem,a,b,c,d,odds_ratio,p_value,political_pole
Public space safety concerns rate,38,49,29,84,2.2463054187192117,0.011575956190535582,left
Public space safety concerns rate,38,49,29,84,2.2463054187192117,0.011575956190535582,right
Social isolation prevalence,68,40,39,53,2.31025641025641,0.0056948388434034285,left
Social isolation prevalence,68,40,39,53,2.31025641025641,0.0056948388434034285,right
Inflation rate for essential goods,64,62,25,49,2.023225806451613,0.02854908805420415,left
Inflation rate for essential goods,64,62,25,49,2.023225806451613,0.02854908805420415,right
Refugee integration gap,33,37,38,92,2.159317211948791,0.017784578655514107,left
Refugee integration gap,33,37,38,92,2.159317211948791,0.017784578655514107,right
Youth unemployment rate,58,34,42,66,2.680672268907563,0.0011018117243867085,left
Youth unemployment rate,58,34,42,66,2.680672268907563,0.0011018117243867085,right
Informal employment rate,60,36,44,60,2.272727272727273,0.00664810734274164,left
Informal employment rate,60,36,44,60,2.272727272727273,0.00664810734274164,right
Human trafficking incidence rate,60,48,30,62,2.5833333333333335,0.001880522582475657,left
Human trafficking incidence rate,60,48,30,62,2.5833333333333335,0.001880522582475657,right
Workplace injury rate,46,30,55,69,1.9236363636363636,0.03802597469638193,left
Workplace injury rate,46,30,55,69,1.9236363636363636,0.03802597469638193,right
Homelessness rate,45,33,45,77,2.3333333333333335,0.006158382548111124,left
Homelessness rate,45,33,45,77,2.3333333333333335,0.006158382548111124,right
Maternal mortality rate,52,43,39,66,2.046511627906977,0.018622451895591873,left
Maternal mortality rate,52,43,39,66,2.046511627906977,0.018622451895591873,right
Waste generation per capita,47,38,39,76,2.41025641025641,0.004042800746427582,left
Waste generation per capita,47,38,39,76,2.41025641025641,0.004042800746427582,right
Domestic violence incidence rate,49,28,50,73,2.555,0.0025412199651965056,left
Domestic violence incidence rate,49,28,50,73,2.555,0.0025412199651965056,right
Healthcare cost burden ratio,41,34,47,78,2.0012515644555693,0.027325443941614243,left
Healthcare cost burden ratio,41,34,47,78,2.0012515644555693,0.027325443941614243,right
Work-life imbalance prevalence,59,48,32,61,2.3430989583333335,0.0052017420420830416,left
Work-life imbalance prevalence,59,48,32,61,2.3430989583333335,0.0052017420420830416,right
Air pollution (PM2.5 concentration),50,62,19,69,2.928692699490662,0.0011365210376795135,left
Air pollution (PM2.5 concentration),50,62,19,69,2.928692699490662,0.0011365210376795135,right
Gender employment gap,73,46,32,49,2.4300271739130435,0.003831336071161239,left
Gender employment gap,73,46,32,49,2.4300271739130435,0.003831336071161239,right
Obesity prevalence,52,59,21,68,2.853914447134786,0.0011680318522148726,left
Obesity prevalence,52,59,21,68,2.853914447134786,0.0011680318522148726,right
Public service delivery inefficiency,34,42,35,89,2.0585034013605443,0.025681479296821273,left
Public service delivery inefficiency,34,42,35,89,2.0585034013605443,0.025681479296821273,right
Homicide rate,67,41,42,50,1.9454123112659698,0.02950294399007765,left
Homicide rate,67,41,42,50,1.9454123112659698,0.02950294399007765,right
Educational attainment gap,68,53,26,53,2.6153846153846154,0.0020648627728746473,left
Educational attainment gap,68,53,26,53,2.6153846153846154,0.0020648627728746473,right
Pretrial detention rate,45,48,29,78,2.521551724137931,0.003048591159454167,left
Pretrial detention rate,45,48,29,78,2.521551724137931,0.003048591159454167,right
Child poverty rate,43,37,41,79,2.239288068556361,0.009248212534770492,left
Child poverty rate,43,37,41,79,2.239288068556361,0.009248212534770492,right
Disability employment gap,38,42,31,89,2.597542242703533,0.0026473670353225516,left
Disability employment gap,38,42,31,89,2.597542242703533,0.0026473670353225516,right
Digital divide (internet access gap),39,44,34,83,2.1637700534759357,0.014451451231790745,left
Digital divide (internet access gap),39,44,34,83,2.1637700534759357,0.014451451231790745,right
Disability employment gap,54,18,73,55,2.26027397260274,0.017283533528188618,left
Disability employment gap,54,18,73,55,2.26027397260274,0.017283533528188618,right
Road accident rate,72,56,26,46,2.2747252747252746,0.009671734339220589,left
Road accident rate,72,56,26,46,2.2747252747252746,0.009671734339220589,right
Road accident rate,69,43,33,55,2.6744186046511627,0.0011835003742191757,left
Road accident rate,69,43,33,55,2.6744186046511627,0.0011835003742191757,right
Public space safety concerns rate,75,47,36,42,1.8617021276595744,0.04761860329313523,left
Public space safety concerns rate,75,47,36,42,1.8617021276595744,0.04761860329313523,right
Public debt-to-GDP ratio,62,61,25,52,2.1140983606557375,0.019103282139332888,left
Public debt-to-GDP ratio,62,61,25,52,2.1140983606557375,0.019103282139332888,right
Eviction rate,46,50,28,76,2.4971428571428573,0.0034373930546545447,left
Eviction rate,46,50,28,76,2.4971428571428573,0.0034373930546545447,right
Workplace injury rate,46,41,34,79,2.606886657101865,0.0018378280249206562,left
Workplace injury rate,46,41,34,79,2.606886657101865,0.0018378280249206562,right
Access gap to early childhood education,35,43,31,91,2.3893473368342084,0.0069166336900962355,left
Access gap to early childhood education,35,43,31,91,2.3893473368342084,0.0069166336900962355,right
Greenhouse gas emissions per capita,58,15,73,54,2.8602739726027395,0.002767840304763317,left
Greenhouse gas emissions per capita,58,15,73,54,2.8602739726027395,0.002767840304763317,right
Violent crime rate,41,41,33,85,2.5757575757575757,0.0024826539801259696,left
Violent crime rate,41,41,33,85,2.5757575757575757,0.0024826539801259696,right
Literacy deficiency rate,49,26,57,68,2.2483130904183537,0.01044759704614798,left
Literacy deficiency rate,49,26,57,68,2.2483130904183537,0.01044759704614798,right
Eviction rate,49,17,70,64,2.635294117647059,0.004690946323475693,left
Eviction rate,49,17,70,64,2.635294117647059,0.004690946323475693,right
Eviction rate,31,40,32,97,2.34921875,0.009656222012482103,left
Eviction rate,31,40,32,97,2.34921875,0.009656222012482103,right
Exposure to environmental hazards,31,37,36,96,2.234234234234234,0.014626178501401585,left
Exposure to environmental hazards,31,37,36,96,2.234234234234234,0.014626178501401585,right
Plastic pollution level,50,74,19,57,2.027027027027027,0.039457875606620514,left
Plastic pollution level,50,74,19,57,2.027027027027027,0.039457875606620514,right
Pretrial detention rate,42,34,46,78,2.0946291560102304,0.01800863125557499,left
Pretrial detention rate,42,34,46,78,2.0946291560102304,0.01800863125557499,right
Drug overdose death rate,49,73,16,62,2.6010273972602738,0.006157265854900252,left
Drug overdose death rate,49,73,16,62,2.6010273972602738,0.006157265854900252,right
Corruption perception index (inverted),53,42,34,71,2.63515406162465,0.0014138360448480091,left
Corruption perception index (inverted),53,42,34,71,2.63515406162465,0.0014138360448480091,right
Public debt-to-GDP ratio,42,37,41,80,2.214897824653922,0.010514484977628621,left
Public debt-to-GDP ratio,42,37,41,80,2.214897824653922,0.010514484977628621,right
Property crime rate,50,37,38,75,2.667140825035562,0.001264343027550353,left
Property crime rate,50,37,38,75,2.667140825035562,0.001264343027550353,right
Accessibility barrier prevalence,51,21,60,68,2.7523809523809524,0.0017820619775833952,left
Accessibility barrier prevalence,51,21,60,68,2.7523809523809524,0.0017820619775833952,right
School dropout rate,46,29,57,68,1.8923169993950393,0.044513765521596624,left
School dropout rate,46,29,57,68,1.8923169993950393,0.044513765521596624,right
Obesity prevalence,48,58,26,68,2.1644562334217508,0.015110232432720772,left
Obesity prevalence,48,58,26,68,2.1644562334217508,0.015110232432720772,right
Public service delivery inefficiency,101,30,42,27,2.164285714285714,0.024306059641236107,left
Public service delivery inefficiency,101,30,42,27,2.164285714285714,0.024306059641236107,right
Domestic violence incidence rate,54,67,17,62,2.9394205443371377,0.0014346794827808304,left
Domestic violence incidence rate,54,67,17,62,2.9394205443371377,0.0014346794827808304,right
Food insecurity prevalence,39,49,27,85,2.505668934240363,0.004158222555335407,left
Food insecurity prevalence,39,49,27,85,2.505668934240363,0.004158222555335407,right
Job insecurity prevalence,31,36,41,92,1.932249322493225,0.04645067444139582,left
Job insecurity prevalence,31,36,41,92,1.932249322493225,0.04645067444139582,right
Cybercrime incidence rate,48,39,37,76,2.528066528066528,0.002391391208927755,left
Cybercrime incidence rate,48,39,37,76,2.528066528066528,0.002391391208927755,right
Teacher shortage rate,52,61,23,64,2.3720598717034926,0.007179601033886952,left
Teacher shortage rate,52,61,23,64,2.3720598717034926,0.007179601033886952,right
Bureaucratic delay time,40,45,36,79,1.9506172839506173,0.033855758525823815,left
Bureaucratic delay time,40,45,36,79,1.9506172839506173,0.033855758525823815,right
Income inequality (Gini coefficient),51,62,20,67,2.7556451612903228,0.0019649172230757276,left
Income inequality (Gini coefficient),51,62,20,67,2.7556451612903228,0.0019649172230757276,right
Homelessness rate,45,52,30,73,2.105769230769231,0.017571156119189076,left
Homelessness rate,45,52,30,73,2.105769230769231,0.017571156119189076,right
Long-term unemployment rate,38,41,40,81,1.8768292682926828,0.04725787910716792,left
Long-term unemployment rate,38,41,40,81,1.8768292682926828,0.04725787910716792,right
Deforestation rate,100,28,45,27,2.142857142857143,0.02707305714117399,left
Deforestation rate,100,28,45,27,2.142857142857143,0.02707305714117399,right
Homicide rate,44,57,27,72,2.0584795321637426,0.023849771221957514,left
Homicide rate,44,57,27,72,2.0584795321637426,0.023849771221957514,right
Cybercrime incidence rate,50,66,17,67,2.985739750445633,0.0012394409575536257,left
Cybercrime incidence rate,50,66,17,67,2.985739750445633,0.0012394409575536257,right
Waste generation per capita,61,44,37,58,2.173218673218673,0.010363913222681846,left
Waste generation per capita,61,44,37,58,2.173218673218673,0.010363913222681846,right
Eviction rate,35,36,39,90,2.2435897435897436,0.01177051377576103,left
Eviction rate,35,36,39,90,2.2435897435897436,0.01177051377576103,right
Homicide rate,53,24,64,59,2.0358072916666665,0.027900424676140446,left
Homicide rate,53,24,64,59,2.0358072916666665,0.027900424676140446,right
Air pollution (PM2.5 concentration),46,32,45,77,2.459722222222222,0.0035661244199916863,left
Air pollution (PM2.5 concentration),46,32,45,77,2.459722222222222,0.0035661244199916863,right
Property crime rate,33,48,27,92,2.3425925925925926,0.009951012513418352,left
Property crime rate,33,48,27,92,2.3425925925925926,0.009951012513418352,right
